id;title;description;image;image_content_type;height;width;taken;uploaded
1;ADP Mountain Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96762;29391;2020-04-24T05:58:47;2020-04-24T18:53:08
2;haptic European Unit of Account 9(E.U.A.-9);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;94646;91521;2020-04-25T01:49:29;2020-04-24T06:06:58
3;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52434;48877;2020-04-25T01:42:55;2020-04-25T03:23:57
4;deposit Borders Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10417;17002;2020-04-24T23:50:53;2020-04-24T13:19:45
5;neural compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2629;57552;2020-04-24T13:29:21;2020-04-24T08:42:08
6;Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;56390;95468;2020-04-24T11:31:56;2020-04-24T13:30:20
7;seize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84740;96062;2020-04-25T01:19:39;2020-04-24T06:16:30
8;clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;51077;92865;2020-04-25T02:43:15;2020-04-24T06:09:48
9;Djibouti Franc Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;45824;48239;2020-04-24T18:43:35;2020-04-24T09:29:08
10;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16357;73368;2020-04-24T20:18:43;2020-04-25T03:39:02
